Estación;Nombre;Latitud;Longitud;Sentido;Orient.
1;Paseo de la Castellana;40,4319272588958;-3,68910874956933;1;S-N
1;Paseo de la Castellana;40,4319272588958;-3,68910874956933;2;N-S
2;Calle Princesa;40,4260679064732;-3,71270896289063;1;N-S
2;Calle Princesa;40,4260679064732;-3,71270896289063;2;S-N
3;Calle Doctor Esquerdo;40,4175763959444;-3,66926245767642;1;S-N
3;Calle Doctor Esquerdo;40,4175763959444;-3,66926245767642;2;N-S
4;Paseo de San Franciso de Sales;40,440372005251;-3,71622659871628;1;O-E
4;Paseo de San Franciso de Sales;40,440372005251;-3,71622659871628;2;E-O
5;Paseo de Santa María de la Cabeza;40,4065688227239;-3,69464350381843;1;N-S
5;Paseo de Santa María de la Cabeza;40,4065688227239;-3,69464350381843;2;S-N
6;Calle Arturo Soria;40,4526332486327;-3,65358647803295;1;S-N
6;Calle Arturo Soria;40,4526332486327;-3,65358647803295;2;N-S
7;Avenida de Portugal;40,4116728730907;-3,73699778904199;1;O-E
7;Avenida de Portugal;40,4116728730907;-3,73699778904199;2;E-O
8;Calle Gran Vía;40,4204093385744;-3,70329480676606;1;E-O
8;Calle Gran Vía;40,4204093385744;-3,70329480676606;2;O-E
9;Calle Atocha;40,4138652926449;-3,70188209550832;1;E-O
9;Calle Atocha;40,4138652926449;-3,70188209550832;;
10;Avenida de Oporto;40,3858793971148;-3,72461207735011;;
10;Avenida de Oporto;40,3858793971148;-3,72461207735011;2;O-E
11;Avenida del Manzanares (M-30);40,4261267538242;-3,73231932296528;1;N-S
11;Avenida del Manzanares (M-30);40,4261267538242;-3,73231932296528;2;S-N
12;Calle José Abascal;40,4384075034351;-3,6937331524823;1;O-E
12;Calle José Abascal;40,4384075034351;-3,6937331524823;;
13;Calle Génova;40,4268358142544;-3,69328597549542;1;E-O
13;Calle Génova;40,4268358142544;-3,69328597549542;2;O-E
14;Calle José Ortega y Gasset;40,430345114991;-3,67770767919241;1;E-O
14;Calle José Ortega y Gasset;40,430345114991;-3,67770767919241;2;O-E
15;Avenida Reina Victoria;40,4469238285087;-3,71129445401288;1;E-O
15;Avenida Reina Victoria;40,4469238285087;-3,71129445401288;2;O-E
16;Calle Alberto Aguilera;40,4300736526848;-3,70705219230349;1;E-O
16;Calle Alberto Aguilera;40,4300736526848;-3,70705219230349;2;O-E
17;Calle Cea Bermúdez;40,4390472777018;-3,70924812834354;1;O-E
17;Calle Cea Bermúdez;40,4390472777018;-3,70924812834354;;
18;Avenida Menéndez Pelayo;40,4212372986662;-3,67970671704422;1;S-N
18;Avenida Menéndez Pelayo;40,4212372986662;-3,67970671704422;2;N-S
19;Calle Bravo Murillo;40,4434732824779;-3,70421157598837;1;N-S
19;Calle Bravo Murillo;40,4434732824779;-3,70421157598837;;
20;Avenida del Manzanares (M-30);40,4066759316064;-3,66394861931571;1;E-O
20;Avenida del Manzanares (M-30);40,4066759316064;-3,66394861931571;2;O-E
21;Calle Príncipe de Vergara;40,4577180758397;-3,67681581181014;1;S-N
21;Calle Príncipe de Vergara;40,4577180758397;-3,67681581181014;2;N-S
22;Calle Ronda de Valencia;40,4059577701658;-3,69968693086339;1;O-E
22;Calle Ronda de Valencia;40,4059577701658;-3,69968693086339;2;E-O
23;Paseo de El Prado;40,4126143323327;-3,6930605046621;1;S-N
23;Paseo de El Prado;40,4126143323327;-3,6930605046621;2;N-S
24;Calle de Gran Vía de San Francisco;40,4099139077151;-3,7136276172691;1;N-S
24;Calle de Gran Vía de San Francisco;40,4099139077151;-3,7136276172691;2;S-N
25;Calle Hortaleza;40,4205585927311;-3,70111284055911;1;S-N
25;Calle Hortaleza;40,4205585927311;-3,70111284055911;;
26;Calle San Bernardo;40,4222277936522;-3,70771721842136;1;N-S
26;Calle San Bernardo;40,4222277936522;-3,70771721842136;2;S-N
27;Calle Alcalá;40,4200775984783;-3,69077150776939;1;E-O
27;Calle Alcalá;40,4200775984783;-3,69077150776939;2;O-E
28;Calle Méndez Álvaro;40.397062;-3.681941;1;N-S
28;Calle Méndez Álvaro;40.397062;-3.681941;2;S-N
29;Paseo Infanta Isabel;40,408082811314;-3,69016917966358;1;O-E
29;Paseo Infanta Isabel;40,408082811314;-3,69016917966358;2;E-O
30;Calle Embajadores;40,4034525851563;-3,70105001670518;1;O-E
30;Calle Embajadores;40,4034525851563;-3,70105001670518;2;E-O
31;Francos Rodríguez;40,4593166032967;-3,7172189280209;1;E-O
31;Francos Rodríguez;40,4593166032967;-3,7172189280209;2;O-E
32;Calle Toledo;40,4056820561041;-3,71218180486285;1;S-N
32;Calle Toledo;40,4056820561041;-3,71218180486285;2;N-S
33;Calle Sinesio Delgado;40,4717739130205;-3,7097777635907;1;O-E
33;Calle Sinesio Delgado;40,4717739130205;-3,7097777635907;2;E-O
34;Calle Mayor;40,4164050749125;-3,70802982022045;1;O-E
34;Calle Mayor;40,4164050749125;-3,70802982022045;;
35;Calle Arenal;40,4177158809657;-3,70702341119376;;
35;Calle Arenal;40,4177158809657;-3,70702341119376;;
36;Paseo de la Castellana;40,4553833677611;-3,69027297871756;1;S-N
36;Paseo de la Castellana;40,4553833677611;-3,69027297871756;2;N-S
37;Calle Costa Rica;40,4589364210189;-3,67021431998301;1;O-E
37;Calle Costa Rica;40,4589364210189;-3,67021431998301;2;E-O
38;Avenida Cardenal Herrera Oria;40,4820701455717;-3,71921494287052;1;E-O
38;Avenida Cardenal Herrera Oria;40,4820701455717;-3,71921494287052;2;O-E
39;Avenida de la Ilustración (M-30);40,4820701455717;-3,71921494287052;1;E-O
39;Avenida de la Ilustración (M-30);40,4820701455717;-3,71921494287052;2;O-E
40;Calle Raimundo Fernández Villaverde;40,4468282587968;-3,69753963293666;1;O-E
40;Calle Raimundo Fernández Villaverde;40,4468282587968;-3,69753963293666;2;E-O
41;Calle Bravo Murillo;40,4648666485307;-3,69478223751634;1;S-N
41;Calle Bravo Murillo;40,4648666485307;-3,69478223751634;2;N-S
42;Avenida General Perón;40,4524152000469;-3,69176688832777;1;O-E
42;Avenida General Perón;40,4524152000469;-3,69176688832777;2;E-O
43;Paseo de Extremadura;40,4133446331213;-3,7297793313802;1;O-E
43;Paseo de Extremadura;40,4133446331213;-3,7297793313802;2;E-O
44;Calle Serrano;40,4278578208061;-3,6871607015382;1;N-S
44;Calle Serrano;40,4278578208061;-3,6871607015382;;
45;Calle Velázquez;40,4243098201028;-3,68406421053937;1;S-N
45;Calle Velázquez;40,4243098201028;-3,68406421053937;;
46;Avenida de la Albufera;40,3885035227608;-3,64184687291051;1;O-E
46;Avenida de la Albufera;40,3885035227608;-3,64184687291051;2;E-O
47;Calle Alcalá;40,4332759145268;-3,64906693223517;1;O-E
47;Calle Alcalá;40,4332759145268;-3,64906693223517;2;E-O
48;Calle Hermanos García Noblejas;40,4231808511027;-3,62711826892317;1;S-N
48;Calle Hermanos García Noblejas;40,4231808511027;-3,62711826892317;2;N-S
49;Avenida de Valladolid;40,4330194173268;-3,73304342552853;1;S-N
49;Avenida de Valladolid;40,4330194173268;-3,73304342552853;2;N-S
50;Calle López de Hoyos;40,4426063850442;-3,67650540797205;1;O-E
50;Calle López de Hoyos;40,4426063850442;-3,67650540797205;2;E-O
51;Avenida Alfonso XIII;40,449671647936;-3,66649679019547;1;N-S
51;Avenida Alfonso XIII;40,449671647936;-3,66649679019547;2;S-N
52;Avenida Brasilia;40,437556;-3,6611065;1;N-S
52;Avenida Brasilia;40,437556;-3,6611065;2;S-N
53;Calle de Marcelo Usera;40,3858385319673;-3,70999268917448;1;E-O
53;Calle de Marcelo Usera;40,3858385319673;-3,70999268917448;2;O-E
54;Avenida Rafaela Ybarra;40,3837670975031;-3,71113303311878;1;S-N
54;Avenida Rafaela Ybarra;40,3837670975031;-3,71113303311878;2;N-S
55;Calle Alcocer;40,3499687848044;-3,70064553489148;1;E-O
55;Calle Alcocer;40,3499687848044;-3,70064553489148;2;O-E
56;Avenida Arcentales;40,4260023774206;-3,62670269580585;1;E-O
56;Avenida Arcentales;40,4260023774206;-3,62670269580585;2;O-E
57;Calle Silvano;40,4630076610887;-3,63396502301157;1;O-E
57;Calle Silvano;40,4630076610887;-3,63396502301157;2;E-O
58;Avenida de Logroño;40,4618490894087;-3,5910937723728;1;E-O
58;Avenida de Logroño;40,4618490894087;-3,5910937723728;2;O-E
59;Calle San Cipriano;40,4044120727823;-3,60588835825753;1;O-E
59;Calle San Cipriano;40,4044120727823;-3,60588835825753;2;E-O
60;Calle Camino de Vinateros;40,4109315826646;-3,65683389839975;1;E-O
60;Calle Camino de Vinateros;40,4109315826646;-3,65683389839975;2;O-E
