fecha,INDU_Index_Open,INDU_Index_Closing,INDU_Index_High,INDU_Index_Low,INDU_Index_Volatility,INDU_Index_Volume,SPX_Index_Open,SPX_Index_Closing,SPX_Index_High,SPX_Index_Low,SPX_Index_Volatility,SPX_Index_Volume
19/09/2010,12679.72,12681.16,12679.95,12536.19,143.76,406355072,1344.32,1345.02,1344.32,1331.09,13.23,1758868864
10/10/2012,16943.16,16945.92,16943.16,16821.85,121.31,78376336,1949.37,1950.79,1949.37,1940.08,9.29,481626688
11/10/2012,16840.48,16843.88,16841.57,16703.73,137.84,73928424,1943.35,1943.89,1943.35,1925.78,17.57,469446912
29/08/2015,24463.73,24580.89,24463.73,24084.39,379.34,72288848,2742.94,2754.88,2742.94,2698.67,44.27,464756544
30/08/2015,24281.89,24252.8,24384.21,24241.22,142.99,69235792,2722.12,2717.07,2732.91,2715.6,17.31,486476608
31/08/2015,24303.11,24283.11,24569.02,24115.82,453.2,66304124,2728.45,2723.06,2746.09,2699.38,46.71,454090880
01/09/2015,24064.19,24117.59,24308.16,23997.21,310.95,66547328,2698.69,2699.63,2724.34,2691.99,32.35,465278688
02/09/2015,24323.93,24216.05,24509.52,24269.71,239.81,71345200,2727.13,2716.31,2743.26,2718.03,25.23,495510752
03/09/2015,24161.53,24271.41,24319.42,24077.56,241.86,69189024,2704.95,2718.37,2727.26,2698.95,28.31,455567200
04/09/2015,24359.39,24307.18,24444.88,24150.85,294.03,67097480,2733.27,2726.71,2736.58,2711.16,25.42,498361696
05/09/2015,24359.39,24307.18,24444.88,24150.85,294.03,69926904,2733.27,2726.71,2736.58,2711.16,25.42,479778208
06/09/2015,24285.82,24174.82,24372.8,24177.44,195.36,67407560,2724.19,2713.22,2737.83,2716.02,21.81,484911968
07/09/2015,24352.47,24356.74,24520.29,24281.47,238.82,73945672,2737.68,2736.61,2764.41,2733.52,30.89,507386688
08/09/2015,24519.2,24456.48,24796.52,24518.43,278.09,92211696,2768.51,2759.82,2784.65,2768.51,16.14,594490816
09/09/2015,24806.97,24776.59,24945.38,24806.97,138.41,64774064,2788.56,2784.17,2795.58,2786.24,9.34,464098592
10/09/2015,24789.48,24919.66,24815.16,24663.82,151.34,71409088,2779.82,2793.84,2785.91,2770.77,15.14,525043936
11/09/2015,24802.9,24700.45,24939.97,24802.9,137.07,78651552,2783.14,2774.02,2799.22,2781.53,17.69,574458880
12/09/2015,24926.07,24924.89,25043.21,24890.06,153.15,84664592,2796.93,2798.29,2804.53,2791.69,12.84,633260032
13/09/2015,25025.58,25019.41,25072.41,24979.64,92.77,85161864,2801.43,2801.31,2803.71,2793.39,10.32,552498944
14/09/2015,25033.92,25064.36,25155.39,24989.61,165.78,75320824,2789.34,2798.43,2814.19,2789.24,24.95,533145056
15/09/2021,25133.79,25119.89,25215.32,25101.12,114.2,105441552,2811.35,2809.55,2816.76,2805.89,10.87,722981440
16/09/2016,25139.15,25199.29,25154.17,25052.62,101.55,82420312,2809.37,2815.62,2812.05,2799.77,12.28,553483648
17/09/2017,25041.14,25064.5,25124.1,24986.35,137.75,81618136,2804.55,2804.49,2809.7,2800.01,9.69,508759616
18/09/2015,25036.9,25058.12,25081.45,24983.33,98.12,67528456,2799.17,2801.83,2808.61,2795.14,13.47,472003456
19/11/2018,25092.43,25044.29,25286.62,25092.43,194.19,66822708,2820.68,2806.98,2829.99,2811.12,18.87,445464096
20/09/2015,25183.7,25241.94,25432.87,25113.55,319.32,64961976,2817.73,2820.4,2848.03,2817.73,30.3,455622208
21/09/2015,25468.55,25414.1,25587.24,25463.16,124.08,60567820,2835.49,2846.07,2845.57,2835.26,10.31,391622432
22/09/2015,25520.52,25527.07,25580.22,25520.04,60.18,59553920,2842.35,2837.44,2843.17,2829.35,13.82,404265120
